contrast,metric,scope,n,mean_diff,ci_lo,ci_hi,p_raw,direction_consistent,family,p_adj
dnn/ewckd - transformer_cl/cat,clean MCC,CICIoMT,5,-0.5011709634003026,-0.5381266649816909,-0.45429588635687795,0.0625,True,secondary,
dnn/ewckd - transformer_cl/cat,clean MCC,CICIoT,5,-0.3491019539423414,-0.4527056787982241,-0.2198736140768562,0.0625,True,secondary,
dnn/ewckd - transformer_cl/cat,clean MCC,TONIoT,5,-0.6688654365198234,-0.6796664506983104,-0.6580644223413363,0.0625,True,secondary,
dnn/ewckd - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.5063794512874892,,,4.999750012499375e-05,True,secondary,0.002049897505124744
dnn/noCL - transformer_cl/cat,average accuracy,CICIoMT,5,-0.56688,-0.5894600000000001,-0.5343200000000001,0.0625,True,secondary,
dnn/noCL - transformer_cl/cat,average accuracy,CICIoT,5,-0.2082,-0.2517,-0.14750000000000002,0.0625,True,secondary,
dnn/noCL - transformer_cl/cat,average accuracy,TONIoT,5,-0.35916,-0.3609399999999999,-0.35739999999999994,0.0625,True,secondary,
dnn/noCL - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.37807999999999997,,,4.999750012499375e-05,True,secondary,0.002049897505124744
dnn/noCL - transformer_cl/cat,clean MCC,CICIoMT,5,-0.7719499234750271,-0.8108719452088516,-0.7305304338840083,0.0625,True,secondary,
dnn/noCL - transformer_cl/cat,clean MCC,CICIoT,5,-0.43317652679364704,-0.5315018237297938,-0.3067273725070617,0.0625,True,secondary,
dnn/noCL - transformer_cl/cat,clean MCC,TONIoT,5,-0.8020818396308899,-0.8081329407097779,-0.7960307385520018,0.0625,True,secondary,
dnn/noCL - transformer_cl/cat,clean MCC,STRATIFIED,15,-0.6690694299665214,,,4.999750012499375e-05,True,secondary,0.002049897505124744
lstm/cat - transformer_cl/cat,average accuracy,CICIoMT,5,0.0125,-0.023740000000000004,0.050980000000000004,1.0,False,secondary,
lstm/cat - transformer_cl/cat,average accuracy,TONIoT,5,-0.005560000000000009,-0.016720000000000023,0.00504,0.4375,False,secondary,
lstm/cat - transformer_cl/cat,average accuracy,STRATIFIED,10,0.0034699999999999957,,,0.8062596870156492,False,secondary,1.0
lstm/cat - transformer_cl/cat,clean MCC,CICIoMT,5,0.019164948415035753,-0.03195215842366768,0.0714083783836065,0.8125,False,secondary,
lstm/cat - transformer_cl/cat,clean MCC,TONIoT,5,-0.008495338406355324,-0.02899053233937445,0.011999855526663805,0.625,False,secondary,
lstm/cat - transformer_cl/cat,clean MCC,STRATIFIED,10,0.005334805004340215,,,0.7752612369381531,False,secondary,1.0
lstm/ewckd - transformer_cl/cat,average accuracy,CICIoMT,5,-0.45644,-0.48838,-0.42380000000000007,0.0625,True,secondary,
lstm/ewckd - transformer_cl/cat,average accuracy,CICIoT,5,-0.20537999999999998,-0.25162,-0.15259999999999999,0.0625,True,secondary,
lstm/ewckd - transformer_cl/cat,average accuracy,TONIoT,5,-0.3578,-0.3599,-0.35590000000000005,0.0625,True,secondary,
lstm/ewckd - transformer_cl/cat,average accuracy,STRATIFIED,15,-0.3398733333333333,,,4.999750012499375e-05,True,secondary,0.002049897505124744
lstm/ewckd - transformer_cl/cat,clean MCC,CICIoMT,5,-0.4872723197571121,-0.5390162757077664,-0.44218236610950584,0.0625,True,secondary,
lstm/ewckd - transformer_cl/cat,clean MCC,CICIoT,5,-0.3570398741032895,-0.4723635387921202,-0.25053063384735247,0.0625,True,secondary,
