dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
TONIoT,42,transformer,noCL,9,0.5450,0.0000,1.0000,0.0000,0.10433333333333333,0.0,0.019714055740014086,0.1,0.10982976386600769,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.0,0.10433333333333333,0.0,0.10433333333333333,0.0,20,0.1,6.0,1000.0,ok
CICIoT,42,transformer,noCL,8,0.4478,-0.1187,0.8703,0.1882,0.113,0.0,0.02294519317160826,0.1111111111111111,0.03931833370461127,0.0,0.113,0.0,0.0,0.113,0.0,0.0,0.113,0.0,0.113,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,1,transformer_cl,ewckd,5,0.3698,-0.7364,0.2250,0.6143,0.3333333333333333,0.2579781548807055,0.16734089284917825,0.3333333333333333,0.11391147244805781,0.09029513107623721,0.32,0.23749300474174972,4.0,0.31733333333333336,0.2327539289808252,4.8,0.32466666666666666,0.2450986366554707,0.31933333333333336,0.23392849847779223,20,0.1,6.0,1000.0,ok
TONIoT,1,transformer_cl,ewckd,9,0.5401,-0.4270,0.5598,0.4127,0.16333333333333333,0.1346669638625127,0.06188367910184394,0.18768678094176305,0.11834157056562328,0.1199211037660773,0.123,0.0800899395157749,25.71428571428571,0.12333333333333334,0.08032312373122992,25.510204081632654,0.12333333333333334,0.0798014307989686,0.12266666666666666,0.07852325084005597,20,0.1,6.0,1000.0,ok
CICIoT,1,transformer_cl,ewckd,8,0.4409,-0.3518,0.6316,0.4111,0.12,0.04172706929974937,0.029472342025926124,0.14097035040431266,0.03931833370461127,0.015578079891598134,0.10133333333333333,0.01689598849133929,17.5,0.10133333333333333,0.013429473006534385,17.5,0.102,0.022468456787397575,0.10366666666666667,0.03485707024133859,20,0.1,6.0,1000.0,ok
CICIoMT,7,transformer_cl,ewckd,5,0.3695,-0.7323,0.2256,0.6132,0.3333333333333333,0.26012070875583676,0.16805835792867402,0.3333333333333333,0.11400180668473352,0.09129365633401415,0.33266666666666667,0.25912300993388254,0.2,0.33266666666666667,0.25905901711753043,0.2,0.333,0.2596866973065846,0.33266666666666667,0.2604093482220406,20,0.1,6.0,1000.0,ok
TONIoT,7,transformer_cl,ewckd,9,0.5468,-0.4233,0.5661,0.4076,0.15733333333333333,0.10799175293968867,0.04832436755187903,0.18083133971291868,0.11770089694307158,0.08400126371628139,0.11866666666666667,0.0547277311885122,26.059322033898308,0.11933333333333333,0.055647253405366214,25.635593220338983,0.119,0.054469652639691085,0.117,0.05164289326348674,20,0.1,6.0,1000.0,ok
CICIoT,7,transformer_cl,ewckd,8,0.4450,-0.2705,0.9711,0.3472,0.11433333333333333,0.05785022247401966,0.035826675075263895,0.11256155233776997,0.039429717086210736,0.032162238398069934,0.10833333333333334,0.03466020786687695,6.41399416909621,0.107,0.03233805512907269,7.580174927113703,0.10666666666666667,0.03384510255393243,0.11433333333333333,0.062093713117186616,20,0.1,6.0,1000.0,ok
CICIoMT,13,transformer_cl,ewckd,5,0.3694,-0.5852,0.4123,0.5589,0.3333333333333333,0.2648894322899501,0.1714776875376447,0.3333333333333333,0.11418247515808491,0.09296781386943222,0.3333333333333333,0.264401590787039,0.0,0.3333333333333333,0.26501460703597385,0.0,0.3333333333333333,0.2646023689122103,0.3333333333333333,0.2656159768188414,20,0.1,6.0,1000.0,ok
TONIoT,13,transformer_cl,ewckd,9,0.5393,-0.4283,0.5586,0.4138,0.163,0.138211041484827,0.06309930740595136,0.1889418777943368,0.1176093721398499,0.12412992633244013,0.115,0.06590132234462816,29.65235173824131,0.115,0.06580117592459028,29.65235173824131,0.115,0.06656247852507423,0.115,0.06980603668842554,20,0.1,6.0,1000.0,ok
CICIoT,13,transformer_cl,ewckd,8,0.4478,-0.4139,0.5521,0.4471,0.11566666666666667,0.0,0.02398346778209342,0.1111111111111111,0.03931833370461127,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.11566666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,21,transformer_cl,ewckd,5,0.3696,-0.5845,0.4127,0.5586,0.333,0.25779342429545316,0.1665842934647036,0.333,0.11400180668473352,0.0917501055964799,0.3333333333333333,0.25852224477649377,0.0,0.3333333333333333,0.25839212446918186,0.0,0.3333333333333333,0.2582319455518987,0.3333333333333333,0.25836636543167496,20,0.1,6.0,1000.0,ok
TONIoT,21,transformer_cl,ewckd,9,0.5464,-0.4156,0.5725,0.4033,0.131,0.07983920598601998,0.055609640482232846,0.1385954721249828,0.11431447922386967,0.1182464106618676,0.131,0.07940546051960475,0.0,0.131,0.07940546051960475,0.0,0.131,0.07952295615728872,0.131,0.07983920598601998,20,0.1,6.0,1000.0,ok
CICIoT,21,transformer_cl,ewckd,8,0.4479,-0.3030,0.7205,0.3719,0.11566666666666667,0.0,0.02398346778209342,0.1111111111111111,0.03931833370461127,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.0,0.11566666666666667,0.0,0.11566666666666667,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,42,transformer_cl,ewckd,5,0.3694,-0.7295,0.2261,0.6124,0.33266666666666667,0.25742301615902013,0.1665313898522617,0.33266666666666667,0.11400180668473352,0.09091590146064632,0.333,0.2576571283032083,0.0,0.333,0.2577605766095921,0.0,0.333,0.2576629675802973,0.333,0.2584974114581349,20,0.1,6.0,1000.0,ok
TONIoT,42,transformer_cl,ewckd,9,0.5452,-0.4261,0.5631,0.4099,0.167,0.15562591112410928,0.07313228651272612,0.19074705351819862,0.11751784733662822,0.1420236341013685,0.121,0.08459483242467555,27.944111776447105,0.121,0.08436214092152274,27.944111776447105,0.12066666666666667,0.0839636784284308,0.12066666666666667,0.08443197440930564,20,0.1,6.0,1000.0,ok
CICIoT,42,transformer_cl,ewckd,8,0.4466,-0.2656,0.9767,0.3423,0.11466666666666667,0.02415523731368243,0.025351195166798002,0.12866799008057983,0.03920695032301181,0.006084250836210447,0.11466666666666667,0.019731406325309803,0.872093023255814,0.11366666666666667,0.013918738635316768,1.744186046511628,0.11366666666666667,0.017619768346966186,0.11433333333333333,0.020714028602542085,20,0.1,6.0,1000.0,ok
