dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
CICIoT,21,transformer_cl,kd,8,0.5414,-0.1559,1.0903,0.2013,0.248,0.18942275737344777,0.09886722337966265,0.2222222222222222,0.15682780129204724,0.11151374330592878,0.248,0.18942275737344777,0.0,0.248,0.18942275737344777,0.0,0.24766666666666667,0.18892240426740575,0.24766666666666667,0.18892240426740575,20,0.1,6.0,1000.0,ok
CICIoMT,42,transformer_cl,kd,5,0.3689,-0.7363,0.2244,0.6149,0.333,0.26482404697669687,0.17160719851089937,0.333,0.11373080397470642,0.09205624439996975,0.3333333333333333,0.26115358224785395,0.0,0.3333333333333333,0.2612072692362944,0.0,0.3333333333333333,0.260408719744476,0.3333333333333333,0.2622615499671797,20,0.1,6.0,1000.0,ok
TONIoT,42,transformer_cl,kd,9,0.5471,-0.4181,0.5713,0.4045,0.133,0.08402252578237077,0.05678250554781785,0.14162526560374214,0.11312465678198792,0.1170721884376825,0.13266666666666665,0.08348781364904441,0.2506265664160401,0.133,0.08402252578237077,0.0,0.133,0.0838957208900766,0.13266666666666665,0.08357241571983612,20,0.1,6.0,1000.0,ok
CICIoT,42,transformer_cl,kd,8,0.4478,-0.2630,0.9833,0.3395,0.113,0.0,0.02294519317160826,0.1111111111111111,0.03931833370461127,0.0,0.113,0.0,0.0,0.113,0.0,0.0,0.113,0.0,0.113,0.0,20,0.1,6.0,1000.0,ok
CICIoMT,1,transformer_cl,replay,5,0.5523,0.4904,0.1829,-2.4521,0.5823333333333334,0.5297505285231642,0.4749800757748396,0.5823333333333333,0.774706413730804,0.7135057371233956,0.354,0.24002822346535227,40.01144819690899,0.3486666666666667,0.2331186105308506,40.927303949627934,0.353,0.23808501259865883,0.3463333333333333,0.22988558623385308,20,0.1,6.0,1000.0,ok
TONIoT,1,transformer_cl,replay,9,0.3414,0.3216,0.1111,-5.1450,0.644,0.6166954988392697,0.6021006723478025,0.622547656406265,0.6781987918725975,0.649186959153893,0.5456666666666666,0.506639378025607,15.372670807453417,0.508,0.46585989721956583,21.27329192546584,0.5643333333333334,0.527756190093575,0.5876666666666667,0.5540160125624963,20,0.1,6.0,1000.0,ok
CICIoT,1,transformer_cl,replay,8,0.1996,0.0974,0.0001,-0.7446,0.2976666666666667,0.22634525294636332,0.1369175749094393,0.22147926700990977,0.3151035865448875,0.28115492848787127,0.295,0.2212493257845881,1.1198208286674132,0.295,0.2212493257845881,1.1198208286674132,0.295,0.2212493257845881,0.297,0.22491512170053413,20,0.1,6.0,1000.0,ok
CICIoMT,7,transformer_cl,replay,5,0.5278,0.4598,0.2022,-2.2991,0.5586666666666666,0.5080964502284339,0.4624847110831032,0.5586666666666666,0.7288166214995483,0.6611097501243269,0.318,0.19464886655494787,43.37708830548926,0.31566666666666665,0.19169345682441202,43.73508353221957,0.31533333333333335,0.1907125366288697,0.30366666666666664,0.17572226360321705,20,0.1,6.0,1000.0,ok
TONIoT,7,transformer_cl,replay,9,0.3565,0.3385,0.1109,-5.4165,0.6663333333333333,0.6456972151477592,0.6083758846764322,0.6427897314476259,0.7041918359875526,0.6829189016195095,0.5846666666666667,0.5540964761179401,12.30615307653827,0.5813333333333334,0.5502317180755262,12.8064032016008,0.5926666666666667,0.5630729625134614,0.6043333333333333,0.5769861136591613,20,0.1,6.0,1000.0,ok
CICIoT,7,transformer_cl,replay,8,0.1938,0.0907,0.0010,-0.6934,0.2813333333333333,0.21341679268512748,0.12450669321492785,0.2213687333758058,0.27912675428826017,0.2600916916491755,0.2816666666666667,0.21263384888699083,0.23696682464454977,0.2823333333333333,0.21463562541606307,0.23696682464454977,0.2836666666666667,0.2153459193951726,0.283,0.21435770454416822,20,0.1,6.0,1000.0,ok
CICIoMT,13,transformer_cl,replay,5,0.5349,0.6186,0.7942,-12.3775,0.579,0.53178139611021,0.47806528837829837,0.5790000000000001,0.740650406504065,0.6733563432642734,0.315,0.19001972419625307,46.22913068508924,0.308,0.18079672768393304,47.03511801957398,0.344,0.22690171013314311,0.36433333333333334,0.25405707551344686,20,0.1,6.0,1000.0,ok
TONIoT,13,transformer_cl,replay,9,0.3545,0.3363,0.1097,-5.3810,0.6536666666666666,0.6339213307708248,0.596529285644314,0.6309742518901058,0.7012630422844591,0.680978160779597,0.554,0.5218977779856537,15.655277919428862,0.5433333333333333,0.5098592878910233,17.185109637939828,0.5463333333333333,0.5135868226470486,0.5946666666666667,0.5694608758373867,20,0.1,6.0,1000.0,ok
CICIoT,13,transformer_cl,replay,8,0.3543,0.2741,0.0723,-2.0960,0.5576666666666666,0.5360156809853834,0.5068593837573178,0.42094342212807173,0.5957897081755402,0.5430696862863538,0.476,0.4359597342162562,15.780035863717872,0.4706666666666667,0.42906437466889036,16.915720263000598,0.48966666666666664,0.45352693320536586,0.5326666666666666,0.5084830309754916,20,0.1,6.0,1000.0,ok
CICIoMT,21,transformer_cl,replay,5,0.5494,0.6368,0.7158,-12.7457,0.586,0.5335672193774518,0.47744036178397287,0.586,0.768383017163505,0.7050281318465547,0.35,0.23471037540788703,42.54835039817975,0.3353333333333333,0.21604478753488388,44.53924914675768,0.365,0.25205058264439534,0.35633333333333334,0.24384093295024334,20,0.1,6.0,1000.0,ok
TONIoT,21,transformer_cl,replay,9,0.3536,0.3353,0.1116,-5.3645,0.6523333333333333,0.633289110788981,0.5964495290868306,0.6324159710076922,0.6988833974006956,0.678070243468424,0.5676666666666667,0.5374689514067588,13.541134389371488,0.563,0.5321917754835013,13.949923352069494,0.5726666666666667,0.5432841393265547,0.593,0.5670614251048658,20,0.1,6.0,1000.0,ok
CICIoT,21,transformer_cl,replay,8,0.3558,0.2759,0.0912,-2.1095,0.5443333333333333,0.5171856085639512,0.46503036274208687,0.3906379599576979,0.6920249498774783,0.6265716016730762,0.4126666666666667,0.337123485075907,24.800979791794244,0.41,0.3341984232468068,25.352112676056336,0.42033333333333334,0.3477111169425508,0.49966666666666665,0.4536678761930849,20,0.1,6.0,1000.0,ok
CICIoMT,42,transformer_cl,replay,5,0.4159,0.3198,0.1670,-1.5988,0.421,0.3985223596932517,0.3223011536295556,0.421,0.6396567299006324,0.5592718801508934,0.20733333333333334,0.06491172506487516,51.22723673792557,0.196,0.0461228855992642,53.52335708630246,0.211,0.06897195197855352,0.21666666666666667,0.07825110136066565,20,0.1,6.0,1000.0,ok
TONIoT,42,transformer_cl,replay,9,0.3489,0.3300,0.1092,-5.2805,0.6436666666666667,0.6235146868972776,0.5863983840255697,0.6242737454843099,0.691195313930075,0.6693065521119936,0.562,0.5315660647048118,12.998446400828586,0.557,0.525777804141361,13.8270326255826,0.603,0.5802193357220431,0.597,0.5730478086554123,20,0.1,6.0,1000.0,ok
CICIoT,42,transformer_cl,replay,8,0.3535,0.2732,0.1000,-2.0894,0.5586666666666666,0.529863563005502,0.5540959758302582,0.49024611295547627,0.6358877255513478,0.5669695722560867,0.4146666666666667,0.3445303922562272,28.520286396181383,0.412,0.3404430729981935,29.295942720763723,0.4216666666666667,0.35191650292143895,0.487,0.43677569248119935,20,0.1,6.0,1000.0,ok
