dataset,seed,backbone,variant,n_tasks,AA,BWT,remembering_rate,CFI,clean_acc,clean_mcc,clean_f1,clean_bal_acc,sel_acc,sel_mcc,fgsm_acc,fgsm_mcc,fgsm_asr,pgd_acc,pgd_mcc,pgd_asr,square_acc,square_mcc,transfer_acc,transfer_mcc,epochs,epsilon,beta,ewc_lambda,status
TONIoT,21,transformer_cl,robustcat,9,0.9028,0.0735,1.1700,-0.0780,0.822,0.8031449776215428,0.8208819730679763,0.8186146693855054,0.823906278601501,0.8039366557241115,0.758,0.7331885839193029,7.948094079480941,0.758,0.733172413488505,7.948094079480941,0.7586666666666667,0.7339425645475943,0.7626666666666667,0.7383269434091632,20,0.1,6.0,1000.0,ok
CICIoT,21,transformer_cl,robustcat,8,0.5470,-0.0046,1.4413,0.0072,0.26033333333333336,0.19859133471758247,0.10855023697694656,0.2219020172910663,0.19636890175985744,0.13297774010064456,0.26066666666666666,0.19916162109908542,0.0,0.26066666666666666,0.19916162109908542,0.0,0.26066666666666666,0.1991771311535135,0.26066666666666666,0.1991771311535135,20,0.1,6.0,1000.0,ok
CICIoMT,42,transformer_cl,robustcat,5,0.7687,0.0863,1.9210,-0.0987,0.7563333333333333,0.7338904443424219,0.7033147121115938,0.7563333333333334,0.6720867208672087,0.6372238479631482,0.738,0.7116307497796709,2.9528426619656236,0.736,0.7094292115789079,3.129131776112825,0.7413333333333333,0.7163238745418937,0.7366666666666667,0.7113107424312866,20,0.1,6.0,1000.0,ok
TONIoT,42,transformer_cl,robustcat,9,0.8961,0.1337,1.2577,-0.1529,0.7936666666666666,0.7720353466972593,0.7926303734020095,0.7852805588710312,0.808804686069925,0.7870371131732795,0.731,0.7031074973530954,8.147837043259134,0.7303333333333333,0.702342302916613,8.189836203275934,0.7323333333333333,0.7045343236698776,0.736,0.7085443091716989,20,0.1,6.0,1000.0,ok
CICIoT,42,transformer_cl,robustcat,8,0.6298,0.0304,1.4496,-0.0441,0.4493333333333333,0.4107507440325973,0.35546510494875105,0.42919985253489384,0.3657830251726442,0.351784017379802,0.45366666666666666,0.4041669221271615,8.086053412462908,0.4523333333333333,0.4023410102836606,8.30860534124629,0.45466666666666666,0.40474318960650896,0.46266666666666667,0.41403026102530854,20,0.1,6.0,1000.0,ok
CICIoMT,1,transformer_cl,cat,5,0.8395,-0.1081,0.8954,0.0934,0.808,0.7722095353024953,0.8050957382116436,0.8079999999999999,0.809936766034327,0.7627457872477424,0.493,0.39858455721426866,40.71782178217821,0.47,0.37158455309173605,43.646864686468646,0.49366666666666664,0.39953439189248585,0.4693333333333333,0.3746974034835816,20,0.1,6.0,1000.0,ok
TONIoT,1,transformer_cl,cat,9,0.9062,0.0915,1.1815,-0.0986,0.8256666666666667,0.8070665995898754,0.8251689365932252,0.8206422726184941,0.8399231191652938,0.8216738250236896,0.6843333333333333,0.6531488063463591,17.642309245054502,0.648,0.6137041908952374,21.840936616875254,0.6463333333333333,0.611788037023874,0.69,0.6611093380858658,20,0.1,6.0,1000.0,ok
CICIoT,1,transformer_cl,cat,8,0.7041,0.1742,1.9307,-0.2763,0.5223333333333333,0.5105993976719981,0.44852841854357395,0.3962518311131498,0.5601470260637113,0.508240006167288,0.4156666666666667,0.36619047841650576,20.612635609444798,0.41733333333333333,0.3677789079285548,20.4211869814933,0.44366666666666665,0.4015158447326512,0.493,0.469154258465552,20,0.1,6.0,1000.0,ok
CICIoMT,7,transformer_cl,cat,5,0.8561,0.1325,1.7860,-0.1413,0.824,0.791271890805811,0.8181409894701577,0.824,0.8314363143631436,0.787154422344482,0.49666666666666665,0.40432622211586333,40.493527508090615,0.48,0.3853715506421278,42.55663430420712,0.44966666666666666,0.3482807651316747,0.43633333333333335,0.33255032144636526,20,0.1,6.0,1000.0,ok
TONIoT,7,transformer_cl,cat,9,0.9021,0.0625,1.1397,-0.0656,0.8136666666666666,0.7938542819852834,0.8142360189949269,0.8069702910830776,0.8294892915980231,0.8107147955307601,0.6503333333333333,0.6151425972921211,20.31954117165096,0.6583333333333333,0.623971876433851,19.33633756657108,0.6686666666666666,0.6354547051423599,0.6773333333333333,0.64490713449937,20,0.1,6.0,1000.0,ok
CICIoT,7,transformer_cl,cat,8,0.6486,-0.0035,1.3037,0.0048,0.417,0.39441504114909964,0.3063845782250538,0.3418054606597814,0.3469592336823346,0.3277283882734474,0.37466666666666665,0.33726639156758037,10.151878497202238,0.37466666666666665,0.33726639156758037,10.151878497202238,0.37733333333333335,0.34142714925898343,0.4043333333333333,0.37661062153048164,20,0.1,6.0,1000.0,ok
CICIoMT,13,transformer_cl,cat,5,0.8705,0.0478,1.5954,-0.0460,0.8643333333333333,0.83949236956842,0.8642365882589658,0.8643333333333333,0.8196025293586269,0.7798608124122067,0.5943333333333334,0.5183565488278058,33.976089471654454,0.5766666666666667,0.498024349522191,34.670266101041264,0.5613333333333334,0.47827629808541033,0.5306666666666666,0.4444762525303988,20,0.1,6.0,1000.0,ok
TONIoT,13,transformer_cl,cat,9,0.9020,0.0748,1.1550,-0.0796,0.8136666666666666,0.7934702910441497,0.8125220122123569,0.8053709804526935,0.8307706388431265,0.8112735946523854,0.6746666666666666,0.6423275610521947,17.492830807046293,0.6673333333333333,0.6342581158313523,18.271200327734537,0.6526666666666666,0.6186197961192975,0.705,0.6744323456630287,20,0.1,6.0,1000.0,ok
CICIoT,13,transformer_cl,cat,8,0.5413,-0.1260,1.1837,0.1692,0.25,0.19094492330709356,0.10043037137844006,0.2222222222222222,0.15705056805524617,0.11188446293196386,0.25,0.19095539896873368,0.0,0.25,0.19095539896873368,0.0,0.25,0.19095539896873368,0.25,0.19095539896873368,20,0.1,6.0,1000.0,ok
CICIoMT,21,transformer_cl,cat,5,0.7750,-0.0386,1.3971,0.0383,0.7463333333333333,0.6963902477705783,0.7446340685655385,0.7463333333333333,0.7148148148148148,0.6407405752440068,0.4503333333333333,0.34526873450290324,41.13443501563198,0.431,0.3223130763628865,43.63555158552926,0.42933333333333334,0.32159077710531997,0.6096666666666667,0.5463257729027442,20,0.1,6.0,1000.0,ok
TONIoT,21,transformer_cl,cat,9,0.9037,0.1032,1.2000,-0.1130,0.823,0.8055045467011427,0.8198766677612037,0.8221443260650408,0.8246384770272744,0.8061735361836107,0.6783333333333333,0.6494166305978225,17.901984609153505,0.6763333333333333,0.6466856470026583,18.06399351964358,0.682,0.6530869206593872,0.7206666666666667,0.6950259588099769,20,0.1,6.0,1000.0,ok
CICIoT,21,transformer_cl,cat,8,0.7033,0.0534,1.3653,-0.0712,0.524,0.5035362203751157,0.4626771118035043,0.427694275014159,0.5553575406549343,0.4934792784811011,0.453,0.40731210957236974,15.012722646310433,0.4593333333333333,0.4152895343243995,13.676844783715012,0.46,0.41740058080570336,0.4856666666666667,0.45479204372895543,20,0.1,6.0,1000.0,ok
CICIoMT,42,transformer_cl,cat,5,0.8420,-0.0760,0.9228,0.0674,0.7983333333333333,0.7603855739278305,0.791434165561952,0.7983333333333333,0.8112917795844625,0.7620244475678832,0.5083333333333333,0.4177183376716285,37.202505219206685,0.49933333333333335,0.4058847137040718,38.03757828810021,0.49,0.3943396794452836,0.458,0.359642512573342,20,0.1,6.0,1000.0,ok
TONIoT,42,transformer_cl,cat,9,0.9068,0.0897,1.1920,-0.0963,0.8286666666666667,0.8105134788339983,0.8295573709206906,0.8282218585002179,0.8258282994691561,0.8066967591239453,0.6286666666666667,0.5926923282389386,24.456958970233305,0.6173333333333333,0.5801508233884718,25.744167337087692,0.617,0.5803298244629078,0.651,0.616698702466495,20,0.1,6.0,1000.0,ok
CICIoT,42,transformer_cl,cat,8,0.6829,0.2164,2.0504,-0.3836,0.6086666666666667,0.5663870514649285,0.6045693915410078,0.5251830867268537,0.640008910670528,0.5760896418275074,0.49266666666666664,0.4317006480186992,23.16538882803943,0.477,0.4117668411270521,25.903614457831324,0.5023333333333333,0.44147006919540854,0.5436666666666666,0.4976649324187698,20,0.1,6.0,1000.0,ok
